,utm_source,utm_medium,utm_campaign,utm_content,date,goal_add_to_cart,goal_move_to_cart,goal_order_in_cart,goal_pay_success,goal_order_confirmed,new_user,order_amount,order_sum
228,blogger,post,bloggercampaignname_1500,0.0,2020-11-18,1,0,0,0,0,4,0,0
229,blogger,post,bloggercampaignname_1500,0.0,2020-11-20,6,2,1,1,0,9,5,5905
230,blogger,post,bloggercampaignname_1500,0.0,2020-11-21,3,0,0,0,0,0,0,0
231,blogger,post,bloggercampaignname_1500,0.0,2020-11-22,4,3,3,1,1,4,4,5348
232,blogger,post,bloggercampaignname_1500,0.0,2020-11-23,2,0,0,0,0,3,0,0
233,blogger,post,bloggercampaignname_1500,0.0,2020-11-24,1,0,0,0,0,1,0,0
234,blogger,post,bloggercampaignname_1500,0.0,2020-11-25,0,0,0,0,0,3,0,0
235,blogger,post,bloggercampaignname_1500,0.0,2020-11-26,0,0,0,0,0,0,0,0
236,blogger,post,bloggercampaignname_1500,0.0,2020-11-27,0,0,0,0,0,1,0,0
237,blogger,post,bloggercampaignname_1500,0.0,2020-11-28,1,0,0,0,0,2,0,0
238,blogger,post,bloggercampaignname_1500,0.0,2020-11-30,3,0,0,0,0,0,0,0
239,blogger,post,bloggercampaignname_1500,0.0,2020-12-01,1,0,0,0,0,1,0,0
240,blogger,post,bloggercampaignname_1500,0.0,2020-12-02,1,0,0,0,0,0,0,0
241,blogger,post,bloggercampaignname_1500,0.0,2020-12-03,1,0,0,0,0,1,0,0
242,blogger,post,bloggercampaignname_1500,0.0,2020-12-04,2,0,0,0,0,1,0,0
243,blogger,post,bloggercampaignname_1500,0.0,2020-12-05,1,0,0,0,0,1,0,0
244,blogger,post,bloggercampaignname_1500,0.0,2020-12-06,1,0,0,0,0,1,0,0
245,blogger,post,bloggercampaignname_1500,0.0,2020-12-07,2,0,0,0,0,2,0,0
246,blogger,post,bloggercampaignname_1500,0.0,2020-12-08,4,0,1,0,0,6,0,0
247,blogger,post,bloggercampaignname_1500,0.0,2020-12-09,3,0,0,0,0,1,0,0
248,blogger,post,bloggercampaignname_1500,0.0,2020-12-10,2,0,0,0,0,1,0,0
249,blogger,post,bloggercampaignname_1500,0.0,2020-12-11,3,0,0,0,0,0,0,0
250,blogger,post,bloggercampaignname_1500,0.0,2020-12-14,4,1,0,0,0,0,0,0
251,blogger,post,bloggercampaignname_1500,0.0,2020-12-15,4,1,1,0,0,0,0,0
252,blogger,post,bloggercampaignname_1500,0.0,2020-12-16,3,0,1,0,0,2,0,0
253,blogger,post,bloggercampaignname_1500,0.0,2020-12-17,2,1,1,1,2,0,2,2804
254,blogger,post,bloggercampaignname_1500,0.0,2020-12-18,3,0,0,0,0,1,0,0
255,blogger,post,bloggercampaignname_1500,0.0,2020-12-20,0,0,0,0,0,1,0,0
256,blogger,post,bloggercampaignname_1500,0.0,2020-12-21,1,0,0,0,0,0,0,0
257,blogger,post,bloggercampaignname_1500,0.0,2020-12-22,3,0,0,0,0,0,0,0
258,blogger,post,bloggercampaignname_1500,0.0,2020-12-23,1,0,0,0,0,0,0,0
